#########################
# B -> J/psi K Mag Down
#########################
### baseline
PrChecker.Downs...   INFO              noVelo+UT+T_SfromDB :    5232 from     6783 [ 77.1 %]      4 clones [ 0.1 %], purity: 97.79 %, hitEff: 98.84 %
PrChecker.Downs...   INFO         noVelo+UT+T_SfromDB>5GeV :    4043 from     4979 [ 81.2 %]      4 clones [ 0.1 %], purity: 97.80 %, hitEff: 98.97 %

PrChecker.BestDown   INFO **** BestDown                        89784 tracks including         36203 ghosts [40.3 %], Event average  35.1 % ****
PrChecker.BestDown   INFO                             UT+T :   38235 from   343868 [ 11.1 %]     34 clones [ 0.1 %], purity: 97.50 %, hitEff: 93.92 %
PrChecker.BestDown   INFO                        UT+T>5GeV :   20463 from   209864 [  9.8 %]     31 clones [ 0.2 %], purity: 97.59 %, hitEff: 95.08 %
PrChecker.BestDown   INFO                     UT+T_strange :   15494 from    36232 [ 42.8 %]     13 clones [ 0.1 %], purity: 97.64 %, hitEff: 94.81 %
PrChecker.BestDown   INFO                UT+T_strange>5GeV :    9979 from    20590 [ 48.5 %]     11 clones [ 0.1 %], purity: 97.69 %, hitEff: 95.59 %
PrChecker.BestDown   INFO              noVelo+UT+T_strange :   14119 from    21195 [ 66.6 %]     13 clones [ 0.1 %], purity: 97.66 %, hitEff: 94.87 %
PrChecker.BestDown   INFO         noVelo+UT+T_strange>5GeV :    9380 from    12783 [ 73.4 %]     11 clones [ 0.1 %], purity: 97.70 %, hitEff: 95.62 %
PrChecker.BestDown   INFO                       UT+T_fromB :    6714 from    40655 [ 16.5 %]      6 clones [ 0.1 %], purity: 97.81 %, hitEff: 95.35 %
PrChecker.BestDown   INFO                  UT+T_fromB>5GeV :    4822 from    31284 [ 15.4 %]      6 clones [ 0.1 %], purity: 97.84 %, hitEff: 96.10 %
PrChecker.BestDown   INFO                noVelo+UT+T_fromB :    5788 from     8880 [ 65.2 %]      5 clones [ 0.1 %], purity: 97.84 %, hitEff: 95.60 %
PrChecker.BestDown   INFO           noVelo+UT+T_fromB>5GeV :    4275 from     5748 [ 74.4 %]      5 clones [ 0.1 %], purity: 97.86 %, hitEff: 96.22 %
PrChecker.BestDown   INFO                     UT+T_SfromDB :    5350 from     9758 [ 54.8 %]      3 clones [ 0.1 %], purity: 97.83 %, hitEff: 95.72 %
PrChecker.BestDown   INFO                UT+T_SfromDB>5GeV :    4082 from     6968 [ 58.6 %]      3 clones [ 0.1 %], purity: 97.85 %, hitEff: 96.27 %
PrChecker.BestDown   INFO              noVelo+UT+T_SfromDB :    5089 from     6783 [ 75.0 %]      3 clones [ 0.1 %], purity: 97.83 %, hitEff: 95.78 %
PrChecker.BestDown   INFO         noVelo+UT+T_SfromDB>5GeV :    3938 from     4979 [ 79.1 %]      3 clones [ 0.1 %], purity: 97.84 %, hitEff: 96.26 %

## 0.1
PrChecker.Downs...   INFO **** Downstream                     406685 tracks including        118854 ghosts [29.2 %], Event average  23.6 % ****
PrChecker.Downs...   INFO                             UT+T :  255740 from   343868 [ 74.4 %]    483 clones [ 0.2 %], purity: 97.53 %, hitEff: 98.85 %
PrChecker.Downs...   INFO                        UT+T>5GeV :  169921 from   209864 [ 81.0 %]    447 clones [ 0.3 %], purity: 97.58 %, hitEff: 98.95 %
PrChecker.Downs...   INFO                     UT+T_strange :   26197 from    36232 [ 72.3 %]     31 clones [ 0.1 %], purity: 97.59 %, hitEff: 98.81 %
PrChecker.Downs...   INFO                UT+T_strange>5GeV :   16176 from    20590 [ 78.6 %]     27 clones [ 0.2 %], purity: 97.61 %, hitEff: 98.88 %
PrChecker.Downs...   INFO              noVelo+UT+T_strange :   14762 from    21195 [ 69.6 %]     17 clones [ 0.1 %], purity: 97.60 %, hitEff: 98.70 %
